Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 17:01:05.471,1.10132611,0.1723813,8.28393269,-0.07440978,2655.25,0.02949989,10.9877367,-0.07331014,0.14057697,0.81472653,-0.041001,17.55999947,24.23347664,-,-,-,-
15-Jan-2015 17:01:06.473,1.03428781,-0.04787607,8.65742874,-0.09220052,2705.25,0.02847512,-,0.0461153,0.08005065,0.9416362,-0.04685899,16.95000076,24.85484695,-,-,-,-
15-Jan-2015 17:01:07.472,1.13963079,-0.10534304,9.55764961,-0.06672879,2769.5,0.02657678,21.59453583,-0.04406039,0.07809832,0.85084623,-0.05466833,15.81999969,26.09758949,-,-,-,-
15-Jan-2015 17:01:08.469,0.44052455,-0.22025737,8.74361897,-0.08829063,2789.75,0.02501443,11.27236271,-0.10086999,0.07321699,0.79422545,-0.05369166,14.89000034,26.71896172,-,-,-,-
15-Jan-2015 17:01:09.471,1.44608867,0.58418214,6.90487242,0.09112638,2853,0.02703036,11.07726383,0.07249259,0.18548264,0.95335019,-0.07419266,16.09000015,27.34033203,-,-,-,-
15-Jan-2015 17:01:10.469,0.11491433,-0.26814324,8.57123756,-0.10676956,2971,0.03719405,11.07726383,-0.438389,0.05076366,0.45840225,0.02831033,22.13999939,27.34033203,-,-,-,-
15-Jan-2015 17:01:11.469,1.93450892,-0.94809717,8.40842819,-0.06274542,2629.5,0.02459444,11.07726383,0.15428165,-0.032215,1.0519495,-0.05857299,14.64000034,28.58307457,-,-,-,-
15-Jan-2015 17:01:12.470,0.65122044,0.21068607,9.69172573,0.00940406,2123.25,0.02783674,16.20393562,-0.00925757,0.06638332,0.88794345,0.02147666,16.56999969,29.20444679,-,-,-,-
15-Jan-2015 17:01:13.471,0.52671516,-0.42137215,9.55764961,-0.00430053,2218.75,0.02081455,30.54982758,-0.08032226,0.16205363,0.80496389,-0.002928,12.39000034,29.20444679,-,-,-,-
15-Jan-2015 17:01:14.468,-0.43095323,0.68952519,8.1211319,-0.1490187,2239.75,0.00589662,31.27482986,-0.16411249,-0.02733366,0.73467487,-0.02831033,3.50999999,30.44718933,-,-,-,-
15-Jan-2015 17:01:15.471,-0.14364782,-0.59375346,8.57123756,-0.01465531,2234.25,0.01154124,16.33925247,-0.12376001,-0.014643,0.7737245,-0.06052532,6.86999989,31.06855965,-,-,-,-
15-Jan-2015 17:01:16.469,0.09576194,-0.5458774,10.92712879,-0.04149092,2232,0.0162955,16.33925247,-0.22083604,0.06540665,0.67414951,0.05564499,9.69999981,30.44718933,-,-,-,-
15-Jan-2015 17:01:17.471,0.08619065,-0.40221977,8.37970448,-0.12577122,2289,0.01584191,16.33925247,-0.16556208,0.02440566,0.73369926,-0.01269066,9.43000031,31.68992996,-,-,-,-
15-Jan-2015 17:01:18.469,1.47482216,0.85233521,6.96232939,-0.25034988,2285.75,0.00991169,35.28887558,-0.26910031,0.15033865,0.60971755,0.08688432,5.9000001,32.31130219,-,-,-,-
15-Jan-2015 17:01:19.470,-0.44052455,-0.19153368,11.24316788,0.16613811,2317,0.0098613,35.28887558,-0.06484956,0.00683267,0.83425081,-0.032215,5.86999989,31.68992996,-,-,-,-
15-Jan-2015 17:01:20.469,-0.51714391,-0.43095323,8.0157795,-0.06085145,2308.5,0.01127245,35.28887558,-0.26625749,-0.01269066,0.63314754,-0.01854767,6.71000004,32.31130219,-,-,-,-
